token;sentimento
Câmara aprova MP que concede reajuste salarial a servidores federais;-1
Banco Central comunica vazamento de dados de 238 chaves Pix;-1
Câmara aprova texto-base do novo arcabouço fiscal, mas deixa de fora mudança defendida pelo governo;1
Appy defende gestão centralizada e compartilhada de conselho federativo na tributária;0
Decisão de Moraes permitiu continuidade dos estudos para construção da Ferrogrão, diz ministro;1
Governo decide retirar tributação de “offshores” de MP e enviar PL sobre o assunto taxação de fundos exclusivos também será encaminhada;-1
Ministro defende que serviços de turismo tenham alíquota diferenciada na reforma tributária;0
Custo de financiamento da dívida já se reduziu com avanço da tributária, diz Ceron;1
Lira confirma compromisso da Câmara em repor despesas condicionadas na LDO de 24;1
EDP Brasil (ENBR3): CVM aprova registro em categoria ‘B’ e ação da companhia deixa de ser negociada na B3;-1
Ficou sabendo? Impactos do apagão no varejo transparência de dados da China;0
E mais: Meta lança versão web do Threads.;1
123Milhas não oferece ‘risco sistêmico’ e governo agirá, diz ministro;1
Investigação conjunta sobre o caso entre as pastas do Turismo e da Justiça não tem prazo para ser concluída.;-1
O bilionário vietnamita que fez fortuna com SPAC e quer ultrapassar Elon Musk;0
Ações de sua montadora VinFast subiram 255% na semana passada, superando gigantes como GM e Mercedes.;1
Lula prioriza cúpula do Brics sob risco de atrasar arcabouço fiscal;-1
Presidente está em Johanesburgo acompanhado de Haddad para defender o grupo do ‘Sul Global’.;0
Howdy.com compra brasileira GeekHunter, dos gêmeos Tomás e Celso Ferrari;0
Plataforma de recrutamento em tecnologia será subsidiária da empresa americana de gerenciamento de talentos.;0
Fiagro da Kinea tem maior crescimento patrimonial em 12 meses;1
Levantamento do Clube FII destaca que entre os cinco Fiagros com maior crescimento no valor patrimonial, o Kinea Crédito Agro (KNCA11) lidera nos últimos 12 meses encerrados em julho.;1
Batalha contra inflação no Brasil não está ganha, diz Campos Neto;-1
Segundo o presidente do Banco Central, a autoridade monetária precisa persistir com uma postura restritiva.;-1
Ação do Banco do Brasil: desconto em bolsa é exagerado, diz Guide entenda;-1
Avaliação acontece após análises dos resultados do segundo trimestre dos quatro principais bancos listados na bolsa brasileira.;0
Banco do Nordeste vai pagar R$ 218,9 milhões em juros sobre capital próprio;0
Montante corresponde ao valor de R$ 2,53 por ação.;0
Ibovespa fecha em alta, puxado por Vale e expectativa sobre arcabouço fiscal;1
Já o dólar encerrou em queda sobre o real, pressionado pelo cenário internacional mais favorável a ativos de risco.;1
Greenvolt assina três contratos de fornecimento de energia nos EUA a 20 anos;1
A empresa liderada por João Manso Neto assegura o fornecimento de energia gerada em três parques solares à Dominion Energy.;1
Receita do imposto do selo já ronda os dois mil milhões;0
Compra de imóveis voltou a dar no ano passado o maior contributo para a subida na arrecadação e garantiu 367 milhões de euros sobre os valores pagos em escrituras. Serviços financeiros, como a contratação de crédito, são ainda a maior fatia e deram 696 milhões.;0
Autarquias captam 303 milhões das receitas do IUC;0
O reforço para as finanças locais ocorreu depois de o valor arrecadado com o IUC ter alcançado os 772,6 milhões de euros, num crescimento de 3,9%, apenas ligeiramente inferior aos 4% de subida registados no ano anterior.;1
A cola que une o inconciliável;1
O bloco que junta Brasil, Rússia, China e África do Sul tem como aglutinador o facto de funcionar como uma plataforma conjunta de críticas ao Ocidente e às suas organizações, nomeadamente ao Banco Mundial, FMI e ONU, numa lógica de contraponto ao G7. Contudo, tirando esse fator, pouco ou quase nada tem unido estes países.;-1
SVB obrigado a ajustar bónus de gestores;0
Atualmente em insolvência, o grupo SVB tem em curso um plano de pagamento de bónus de 12,5 milhões de dólares para manter os gestores do braço de capital, SVB Capital, e o conseguir vender. Teve, contudo, de fazer ajustamentos.;-1
Reformismo vs reversionismo;0
O veto do PR ao pacote Mais Habitação suscita várias questões. Uma delas é tentar perceber porque Costa insiste em ter contra si todo o espetro partidário: ninguém apoia a nova lei, nem sequer o PCP e o Bloco.;-1
Vermelho domina em Wall Street. Só Nasdaq escapa;-1
Depois de um rally nas tecnológicas na segunda-feira, os índices norte-americanas fecharam maioritariamente com perdas, com o setor da banca a ser o que mais caiu no S&ampP 500.;-1
Rei de Espanha propõe investidura de Feijóo;0
Depois de ouvir os partidos, a Casa Real comunicou à presidência do Congresso que Feijóo é o nome escolhido para a investidura.;0
Goldman Sachs junta-se a consórcio para compra da Subway;0
A TDR Capital e a Sycamore Partners aliaram-se à gestora de ativos do Goldman Sachs e a um fundo soberano na tentativa de o consórcio ser o comprador escolhido pela cadeia de sanduíches.;0
Valor da isenção temporária de IMI subiu 63% em 2022;1
Em causa está a isenção de IMI que é atribuída pelo prazo máximo de três anos a casas destinadas a habitação própria e permanente de valor patrimonial tributário (VTP) até 125 mil euros de famílias cujo rendimento bruto anual não exceda os 153.300 euros.;0
BdP alerta para entidades sem autorização na atividade de ativos virtuais;-1
A instituição liderada por Mário Centeno lançou um alerta sobre as entidades BTC Evex 360, BTC ifex 360 e Bitcoin 360 ai.;-1
Decisão nas mãos do Rei: depois de Sánchez, Feijóo também pede investidura;0
Alberto Nuñez Feijóo considera que tem argumentos para ser investido por Filipe VI, apesar de ainda precisar de quatros deputados para reunir a necessária maioria absoluta.;0
Petrobras vê potencial para produzir petróleo por mais três ou quatro décadas;1
A Petrobras tem reservas provadas de 10,5 mil milhões de barris de petróleo equivalente e uma produção diária de cerca de 2,6 milhões de barris.;1
Putin insta Banco Central da Rússia a conter instabilidade financeira;1
Vladimir Putin garantiu ainda estar a acompanhar de perto a subida dos riscos inflacionistas, vincando que o principal objetivo é agora conter a subida dos preços.;1
SIFIDE representou um terço da despesa fiscal em IRC em 2022;0
De acordo com o relatório da despesa fiscal de 2022, as deduções à coleta atribuídas por via do SIFIDE resultaram numa despesa fiscal em sede de IRC de 444,6 milhões de euros.;0
Mudança na cúpula da Comissão Europeia: Sefcovic substitui Timmermans na pasta do clima;0
